keyword,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GAY,0,0,6,86,17,0,0,0,85,0
GAY PRIDE,0,14,368,767,144,226,1208,588,198,44
GAY PRIDE ITEMS,0,0,99,0,0,0,0,177,0,0
LGBT,0,0,48,6,17,0,0,62,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,0,0,0,0,0,0,0,0,0,36
LGBTQ,0,0,8,5,0,183,53,46,106,36
LGBTQ LAPEL PIN,0,0,0,0,0,0,0,129,0,0
PRIDE,0,20,268,1890,728,3108,5104,5761,4656,2360
PRIDE BANDANA,0,0,0,0,6,0,401,178,41,0
PRIDE BITES,0,0,0,0,0,0,0,0,132,0
PRIDE CELEBRATION FAN,0,0,0,0,0,0,0,0,0,67
PRIDE FAN,0,0,0,0,5,0,234,260,319,227
PRIDE FLAG,0,0,23,75,118,257,706,634,457,200
PRIDE GIVEAWAY,0,0,0,0,0,0,0,0,253,0
PRIDE HAND FANS,0,0,0,0,0,0,0,116,0,38
PRIDE HEADBANDS,0,0,0,0,0,0,0,118,0,0
PRIDE ITEMS,0,0,4,0,77,40,85,83,0,61
PRIDE MONTH,0,0,0,0,13,149,124,0,494,77
PRIDE PEN,0,0,0,0,0,0,0,0,0,35
PRIDE PINS,0,0,0,0,0,0,0,0,0,39
PRIDE RAINBOW,0,0,0,0,0,0,424,0,40,0
PRIDE SLIDES,0,0,0,0,0,63,0,43,0,0
PRIDE SUNGLASSES,0,0,0,0,0,0,330,225,184,43
PRIDE WRIST STRAP,0,0,0,0,0,0,0,0,0,72
RAINBOW GAY PRIDE,0,0,32,0,104,0,0,0,0,0
RAINBOW PRIDE,0,0,42,1078,17,402,52,877,57,49
TRANS PRIDE COFFEE,0,0,0,0,168,0,0,0,0,0
